scheme_code,last_nav_date,status,mapped_successor
144293,2021-07-29,unresolved discontinuation,
144299,2021-07-29,unresolved discontinuation,
144332,2021-07-29,unresolved discontinuation,
144352,2022-05-26,unresolved discontinuation,
144356,2021-08-30,unresolved discontinuation,
144366,2021-08-03,unresolved discontinuation,
144369,2021-08-11,unresolved discontinuation,
144386,2021-07-29,unresolved discontinuation,
144412,2021-07-28,unresolved discontinuation,
144437,2023-08-14,unresolved discontinuation,
144455,2023-07-27,unresolved discontinuation,
144459,2021-10-25,unresolved discontinuation,
144482,2021-10-22,unresolved discontinuation,
144494,2021-08-23,unresolved discontinuation,
144500,2021-08-06,unresolved discontinuation,
144503,2021-09-27,unresolved discontinuation,
144510,2021-08-10,unresolved discontinuation,
144520,2021-08-26,unresolved discontinuation,
144525,2021-08-17,unresolved discontinuation,
144528,2021-10-18,unresolved discontinuation,
144534,2021-08-18,unresolved discontinuation,
144542,2021-08-22,unresolved discontinuation,
144552,2021-08-17,unresolved discontinuation,
144556,2021-09-30,unresolved discontinuation,
144560,2021-08-30,unresolved discontinuation,
144567,2021-08-17,unresolved discontinuation,
144571,2021-08-31,unresolved discontinuation,
144589,2022-04-11,unresolved discontinuation,
144610,2021-08-26,unresolved discontinuation,
144614,2021-10-13,unresolved discontinuation,
144620,2021-08-30,unresolved discontinuation,
144626,2021-10-20,unresolved discontinuation,
144633,2021-08-26,unresolved discontinuation,
144634,2022-03-13,unresolved discontinuation,
144641,2021-09-02,unresolved discontinuation,
144653,2021-09-01,unresolved discontinuation,
144666,2021-08-31,unresolved discontinuation,
144671,2021-10-18,unresolved discontinuation,
144673,2021-08-31,unresolved discontinuation,
144675,2021-08-31,unresolved discontinuation,
144681,2024-01-19,unresolved discontinuation,
144686,2021-08-31,unresolved discontinuation,
144692,2021-10-20,unresolved discontinuation,
144707,2021-08-30,unresolved discontinuation,
144725,2021-08-31,unresolved discontinuation,
144728,2023-09-07,unresolved discontinuation,
144736,2021-09-21,unresolved discontinuation,
144746,2021-09-30,unresolved discontinuation,
144751,2021-09-01,unresolved discontinuation,
144764,2021-09-14,unresolved discontinuation,
144770,2022-04-28,unresolved discontinuation,
144800,2022-09-29,unresolved discontinuation,
144804,2021-09-06,unresolved discontinuation,
144823,2021-09-06,unresolved discontinuation,
144826,2021-09-30,unresolved discontinuation,
144842,2021-09-03,unresolved discontinuation,
144850,2022-04-11,unresolved discontinuation,
144861,2021-09-30,unresolved discontinuation,
144868,2021-09-30,unresolved discontinuation,
144879,2021-09-16,unresolved discontinuation,
144883,2021-09-28,unresolved discontinuation,
144889,2022-01-31,unresolved discontinuation,
144894,2021-09-14,unresolved discontinuation,
144899,2022-04-29,unresolved discontinuation,
144910,2022-05-31,unresolved discontinuation,
144912,2021-09-28,unresolved discontinuation,
144918,2021-09-14,unresolved discontinuation,
144934,2022-04-29,unresolved discontinuation,
144954,2021-10-26,unresolved discontinuation,
144959,2021-09-29,unresolved discontinuation,
144981,2022-06-30,unresolved discontinuation,
144985,2021-09-28,unresolved discontinuation,
144988,2023-09-29,unresolved discontinuation,
144992,2021-09-27,unresolved discontinuation,
145006,2021-11-08,unresolved discontinuation,
145009,2021-10-26,unresolved discontinuation,
145031,2022-05-05,unresolved discontinuation,
145066,2022-04-04,unresolved discontinuation,
145069,2022-04-08,unresolved discontinuation,
145079,2022-04-29,unresolved discontinuation,
145086,2021-11-22,unresolved discontinuation,
145089,2021-09-29,unresolved discontinuation,
145096,2021-10-06,unresolved discontinuation,
145100,2021-11-03,unresolved discontinuation,
145104,2022-06-30,unresolved discontinuation,
145141,2022-05-10,unresolved discontinuation,
145145,2021-10-26,unresolved discontinuation,
145161,2021-12-27,unresolved discontinuation,
145164,2021-10-06,unresolved discontinuation,
145171,2022-04-19,unresolved discontinuation,
145177,2022-05-30,unresolved discontinuation,
145187,2022-04-28,unresolved discontinuation,
145197,2021-10-18,unresolved discontinuation,
145214,2021-10-13,unresolved discontinuation,
145228,2022-11-25,unresolved discontinuation,
145229,2021-11-02,unresolved discontinuation,
145236,2022-04-18,unresolved discontinuation,
145240,2022-05-04,unresolved discontinuation,
145272,2022-04-12,unresolved discontinuation,
145285,2022-06-28,unresolved discontinuation,
145298,2022-04-12,unresolved discontinuation,
145304,2021-11-29,unresolved discontinuation,
145318,2022-04-26,unresolved discontinuation,
145329,2022-04-19,unresolved discontinuation,
145339,2022-04-19,unresolved discontinuation,
145353,2021-11-02,unresolved discontinuation,
145372,2023-05-02,unresolved discontinuation,
145376,2022-11-24,unresolved discontinuation,
145381,2022-06-01,unresolved discontinuation,
145394,2022-04-07,unresolved discontinuation,
145407,2022-04-29,unresolved discontinuation,
145412,2022-04-05,unresolved discontinuation,
145415,2022-04-19,unresolved discontinuation,
145426,2022-04-18,unresolved discontinuation,
145461,2022-04-12,unresolved discontinuation,
145469,2022-04-06,unresolved discontinuation,
145478,2021-12-31,unresolved discontinuation,
145492,2022-04-18,unresolved discontinuation,
145499,2023-05-02,unresolved discontinuation,
145505,2022-04-26,unresolved discontinuation,
145528,2022-04-29,unresolved discontinuation,
145530,2022-04-26,unresolved discontinuation,
145553,2022-05-04,unresolved discontinuation,
145571,2021-12-06,unresolved discontinuation,
145576,2022-04-13,unresolved discontinuation,
145579,2022-04-18,unresolved discontinuation,
145583,2022-04-04,unresolved discontinuation,
145612,2022-05-02,unresolved discontinuation,
145616,2022-04-29,unresolved discontinuation,
145619,2022-05-31,unresolved discontinuation,
145637,2022-05-17,unresolved discontinuation,
145643,2022-04-12,unresolved discontinuation,
145647,2023-05-02,unresolved discontinuation,
145654,2022-04-19,unresolved discontinuation,
145665,2022-04-29,unresolved discontinuation,
145672,2023-04-20,unresolved discontinuation,
145682,2022-04-11,unresolved discontinuation,
145688,2022-04-28,unresolved discontinuation,
145699,2022-06-06,unresolved discontinuation,
145716,2022-05-19,unresolved discontinuation,
145720,2022-04-12,unresolved discontinuation,
145746,2023-05-02,unresolved discontinuation,
145760,2022-05-02,unresolved discontinuation,
145767,2022-04-20,unresolved discontinuation,
145774,2022-04-26,unresolved discontinuation,
145780,2022-06-01,unresolved discontinuation,
145783,2022-05-17,unresolved discontinuation,
145790,2022-04-29,unresolved discontinuation,
145796,2022-04-12,unresolved discontinuation,
145807,2022-04-26,unresolved discontinuation,
145838,2022-04-19,unresolved discontinuation,
145845,2022-04-19,unresolved discontinuation,
145855,2022-04-19,unresolved discontinuation,
145860,2022-04-12,unresolved discontinuation,
145866,2022-04-12,unresolved discontinuation,
145880,2022-04-28,unresolved discontinuation,
145902,2022-05-24,unresolved discontinuation,
145917,2022-05-30,unresolved discontinuation,
145919,2022-04-11,unresolved discontinuation,
145925,2022-04-21,unresolved discontinuation,
145929,2022-06-01,unresolved discontinuation,
145939,2022-04-19,unresolved discontinuation,
145944,2022-04-18,unresolved discontinuation,
145947,2022-04-25,unresolved discontinuation,
145961,2022-06-03,unresolved discontinuation,
145980,2022-04-18,unresolved discontinuation,
145982,2022-04-12,unresolved discontinuation,
145987,2023-06-06,unresolved discontinuation,
146030,2022-04-29,unresolved discontinuation,
146037,2022-05-24,unresolved discontinuation,
146043,2022-05-30,unresolved discontinuation,
146045,2022-06-30,unresolved discontinuation,
146053,2022-06-01,unresolved discontinuation,
146056,2022-04-12,unresolved discontinuation,
146088,2022-04-26,unresolved discontinuation,
146102,2022-04-18,unresolved discontinuation,
146134,2022-04-11,unresolved discontinuation,
146145,2022-04-12,unresolved discontinuation,
146155,2022-04-11,unresolved discontinuation,
146157,2022-04-07,unresolved discontinuation,
146172,2022-05-02,unresolved discontinuation,
146174,2023-06-23,unresolved discontinuation,
146201,2022-04-28,unresolved discontinuation,
146245,2022-04-19,unresolved discontinuation,
146261,2022-05-24,unresolved discontinuation,
146277,2022-04-11,unresolved discontinuation,
146284,2022-07-18,unresolved discontinuation,
146289,2022-04-20,unresolved discontinuation,
146299,2022-05-04,unresolved discontinuation,
146302,2022-04-11,unresolved discontinuation,
146312,2022-04-27,unresolved discontinuation,
