Block,prediction_date,classification_target_horizon,row_count,HistGBM_AUC,Momentum_AUC
2024-07-31,2024-07-31,6-months,1248,0.37723948060486523,0.42430709648257725
2024-07-31,2024-08-31,6-months,1255,0.3711111111111111,0.40699301587301584
2024-07-31,2024-09-30,6-months,1267,0.40815764553429024,0.43768067185007975
2024-07-31,2024-10-31,6-months,1264,0.37437156992348675,0.4242278572286985
2024-07-31,2024-11-30,6-months,1272,0.45532288370253166,0.4536367681962026
2024-07-31,2024-12-31,6-months,1299,0.5407913140364602,0.49798378493705997
2025-01-31,2025-01-31,6-months,1303,0.6854189354189355,0.6854472211615069
2025-01-31,2025-02-28,6-months,1318,0.6562355764792762,0.5215025846949136
2025-01-31,2025-03-31,6-months,1336,0.6481921920303282,0.5425501332920095
2025-01-31,2025-04-30,6-months,1340,0.6332405429799555,0.47432105164386373
2025-01-31,2025-05-31,6-months,1346,0.63909284581299,0.5950458930732321
2025-01-31,2025-06-30,6-months,1357,0.5967411185596796,0.6484103123330047
2025-07-31,2025-07-31,6-months,1368,0.6155797155664623,0.6342647715831529
2025-07-31,2025-08-31,6-months,1374,0.6401629358109182,0.5947941054951108
2025-07-31,2025-09-30,6-months,1395,0.560738379267791,0.6933319621554914
2025-07-31,2025-10-31,6-months,1398,0.597581772807023,0.6423994333175694
2025-07-31,2025-11-30,6-months,1402,0.5269692103211676,0.547199171180193
2025-07-31,2025-12-31,6-months,1431,0.5550104526893695,0.5259246234101167
