date,strategy,category,scheme_code,scheme_name,prediction_score,quintile,target_weight,opening_drifted_weight,closing_weight,nav_start,nav_end,fund_return,data_quality_flag
2024-07-31,HistGBM,Unknown,148822,Unknown,0,5,0.0018018018018018018,0.0,0.0018018018018018018,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,149331,Unknown,0,5,0.0018018018018018018,0.0,0.0018018018018018018,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,148500,Unknown,0,5,0.0018018018018018018,0.0,0.0018018018018018018,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,148035,Unknown,0,5,0.0018018018018018018,0.0,0.0018018018018018018,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,148928,Unknown,0,5,0.0018018018018018018,0.0,0.0018018018018018018,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,150344,Unknown,0,5,0.0018018018018018018,0.0,0.0018018018018018018,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120700,Unknown,0,5,0.0018018018018018018,0.0,0.0018018018018018018,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,148642,Unknown,0,5,0.0018018018018018018,0.0,0.0018018018018018018,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119605,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,138472,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120447,Unknown,0,5,0.005405405405405406,0.0,0.0054689832485270784,1,1.0117619009775094,0.011761900977509314,OK
2024-07-31,HistGBM,Unknown,120520,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,140298,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
