date,strategy,scheme_code,opening_drifted_weight,target_weight,weight_change,buy_weight,sell_weight,one_way_turnover,cost_rate_bps,transaction_cost
2024-07-31,HistGBM,151040,0.0,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.0,0.0005005005005005005,50,2.5025025025025024e-06
2024-07-31,HistGBM,148481,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0022522522522522522,50,1.1261261261261261e-05
2024-07-31,HistGBM,119303,0.0,0.0033783783783783786,0.0033783783783783786,0.0033783783783783786,0.0,0.0016891891891891893,50,8.445945945945946e-06
2024-07-31,HistGBM,140298,0.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,0.002702702702702703,50,1.3513513513513515e-05
2024-07-31,HistGBM,120333,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0022522522522522522,50,1.1261261261261261e-05
2024-07-31,HistGBM,118803,0.0,0.0033783783783783786,0.0033783783783783786,0.0033783783783783786,0.0,0.0016891891891891893,50,8.445945945945946e-06
2024-07-31,HistGBM,148500,0.0,0.0018018018018018018,0.0018018018018018018,0.0018018018018018018,0.0,0.0009009009009009009,50,4.504504504504505e-06
2024-07-31,HistGBM,144403,0.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,0.002702702702702703,50,1.3513513513513515e-05
2024-07-31,HistGBM,129046,0.0,0.003861003861003861,0.003861003861003861,0.003861003861003861,0.0,0.0019305019305019305,50,9.652509652509653e-06
2024-07-31,HistGBM,118807,0.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,0.002702702702702703,50,1.3513513513513515e-05
2024-07-31,HistGBM,146457,0.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,0.002702702702702703,50,1.3513513513513515e-05
2024-07-31,HistGBM,149017,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0022522522522522522,50,1.1261261261261261e-05
2024-07-31,HistGBM,118814,0.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,0.002702702702702703,50,1.3513513513513515e-05
2024-07-31,HistGBM,120351,0.0,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.0,0.0005005005005005005,50,2.5025025025025024e-06
2024-07-31,HistGBM,146980,0.0,0.003861003861003861,0.003861003861003861,0.003861003861003861,0.0,0.0019305019305019305,50,9.652509652509653e-06
2024-07-31,HistGBM,120357,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0022522522522522522,50,1.1261261261261261e-05
2024-07-31,HistGBM,151078,0.0,0.0033783783783783786,0.0033783783783783786,0.0033783783783783786,0.0,0.0016891891891891893,50,8.445945945945946e-06
2024-07-31,HistGBM,148519,0.0,0.000819000819000819,0.000819000819000819,0.000819000819000819,0.0,0.0004095004095004095,50,2.0475020475020476e-06
2024-07-31,HistGBM,148529,0.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,0.002702702702702703,50,1.3513513513513515e-05
2024-07-31,HistGBM,147003,0.0,0.003861003861003861,0.003861003861003861,0.003861003861003861,0.0,0.0019305019305019305,50,9.652509652509653e-06
2024-07-31,HistGBM,140353,0.0,0.003861003861003861,0.003861003861003861,0.003861003861003861,0.0,0.0019305019305019305,50,9.652509652509653e-06
2024-07-31,HistGBM,127042,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0022522522522522522,50,1.1261261261261261e-05
2024-07-31,HistGBM,148035,0.0,0.0018018018018018018,0.0018018018018018018,0.0018018018018018018,0.0,0.0009009009009009009,50,4.504504504504505e-06
2024-07-31,HistGBM,119364,0.0,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.0,0.0005005005005005005,50,2.5025025025025024e-06
2024-07-31,HistGBM,120389,0.0,0.0033783783783783786,0.0033783783783783786,0.0033783783783783786,0.0,0.0016891891891891893,50,8.445945945945946e-06
2024-07-31,HistGBM,148550,0.0,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.0,0.0045045045045045045,50,2.2522522522522523e-05
2024-07-31,HistGBM,151620,0.0,0.0022522522522522522,0.0022522522522522522,0.0022522522522522522,0.0,0.0011261261261261261,50,5.630630630630631e-06
2024-07-31,HistGBM,149062,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0022522522522522522,50,1.1261261261261261e-05
2024-07-31,HistGBM,119369,0.0,0.0033783783783783786,0.0033783783783783786,0.0033783783783783786,0.0,0.0016891891891891893,50,8.445945945945946e-06
2024-07-31,HistGBM,151113,0.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,0.002702702702702703,50,1.3513513513513515e-05
2024-07-31,HistGBM,118859,0.0,0.0033783783783783786,0.0033783783783783786,0.0033783783783783786,0.0,0.0016891891891891893,50,8.445945945945946e-06
2024-07-31,HistGBM,120392,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0022522522522522522,50,1.1261261261261261e-05
2024-07-31,HistGBM,151117,0.0,0.006756756756756757,0.006756756756756757,0.006756756756756757,0.0,0.0033783783783783786,50,1.6891891891891892e-05
2024-07-31,HistGBM,133710,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0022522522522522522,50,1.1261261261261261e-05
2024-07-31,HistGBM,120398,0.0,0.006756756756756757,0.006756756756756757,0.006756756756756757,0.0,0.0033783783783783786,50,1.6891891891891892e-05
2024-07-31,HistGBM,146513,0.0,0.0018018018018018018,0.0018018018018018018,0.0018018018018018018,0.0,0.0009009009009009009,50,4.504504504504505e-06
2024-07-31,HistGBM,151122,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0022522522522522522,50,1.1261261261261261e-05
2024-07-31,HistGBM,120401,0.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,0.002702702702702703,50,1.3513513513513515e-05
2024-07-31,HistGBM,148564,0.0,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.0,0.0005005005005005005,50,2.5025025025025024e-06
2024-07-31,HistGBM,147541,0.0,0.0033783783783783786,0.0033783783783783786,0.0033783783783783786,0.0,0.0016891891891891893,50,8.445945945945946e-06
2024-07-31,HistGBM,120405,0.0,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.0,0.0005005005005005005,50,2.5025025025025024e-06
2024-07-31,HistGBM,148567,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0022522522522522522,50,1.1261261261261261e-05
2024-07-31,HistGBM,118870,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0022522522522522522,50,1.1261261261261261e-05
2024-07-31,HistGBM,132186,0.0,0.0018018018018018018,0.0018018018018018018,0.0018018018018018018,0.0,0.0009009009009009009,50,4.504504504504505e-06
2024-07-31,HistGBM,118879,0.0,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.0,0.0005005005005005005,50,2.5025025025025024e-06
2024-07-31,HistGBM,150627,0.0,0.0022522522522522522,0.0022522522522522522,0.0022522522522522522,0.0,0.0011261261261261261,50,5.630630630630631e-06
2024-07-31,HistGBM,151142,0.0,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.0,0.0005005005005005005,50,2.5025025025025024e-06
2024-07-31,HistGBM,120425,0.0,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.0,0.0045045045045045045,50,2.2522522522522523e-05
2024-07-31,HistGBM,149098,0.0,0.002702702702702703,0.002702702702702703,0.002702702702702703,0.0,0.0013513513513513514,50,6.7567567567567575e-06
2024-07-31,HistGBM,151146,0.0,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.0,0.0045045045045045045,50,2.2522522522522523e-05
2024-07-31,HistGBM,131580,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0022522522522522522,50,1.1261261261261261e-05
2024-07-31,HistGBM,147567,0.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,0.002702702702702703,50,1.3513513513513515e-05
2024-07-31,HistGBM,150643,0.0,0.000819000819000819,0.000819000819000819,0.000819000819000819,0.0,0.0004095004095004095,50,2.0475020475020476e-06
2024-07-31,HistGBM,128629,0.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,0.002702702702702703,50,1.3513513513513515e-05
2024-07-31,HistGBM,151160,0.0,0.000819000819000819,0.000819000819000819,0.000819000819000819,0.0,0.0004095004095004095,50,2.0475020475020476e-06
2024-07-31,HistGBM,120444,0.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,0.002702702702702703,50,1.3513513513513515e-05
2024-07-31,HistGBM,141950,0.0,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.0,0.0045045045045045045,50,2.2522522522522523e-05
2024-07-31,HistGBM,120447,0.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,0.002702702702702703,50,1.3513513513513515e-05
2024-07-31,HistGBM,119424,0.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,0.002702702702702703,50,1.3513513513513515e-05
