date,strategy,gross_return,one_way_turnover,transaction_cost,net_return,portfolio_value_gross,portfolio_value_net
2024-07-31,HistGBM,-0.019224797001802706,0.4999999999999985,0.0024999999999999927,-0.021724797001802697,0.9807752029981973,0.9782752029981973
2024-08-31,HistGBM,-0.016068139584370294,0.24006793240851468,0.0012003396620425735,-0.017268479246412866,0.9839318604156297,0.9827315207535872
2024-09-30,HistGBM,-0.023333353138329255,0.21257116674786986,0.0010628558337393494,-0.024396208972068605,0.9766666468616707,0.9756037910279314
2024-10-31,HistGBM,-0.06025178679167955,0.2975124239988559,0.0014875621199942797,-0.06173934891167383,0.9397482132083205,0.9382606510883261
2024-11-30,HistGBM,-0.03941183957735537,0.2577400027300279,0.0012887000136501394,-0.04070053959100551,0.9605881604226446,0.9592994604089945
2024-12-31,HistGBM,-0.025338078157178826,0.31092796092796054,0.0015546398046398027,-0.026892717961818628,0.9746619218428212,0.9731072820381814
2025-01-31,HistGBM,-0.03561335730969437,0.3426824784859532,0.0017134123924297659,-0.03732676970212414,0.9643866426903056,0.9626732302978759
2025-02-28,HistGBM,0.034695132268976164,0.4137865975197212,0.002068932987598606,0.032626199281377555,1.0346951322689761,1.0326261992813777
2025-03-31,HistGBM,0.01914472255135075,0.4071419176759629,0.0020357095883798146,0.017109012962970935,1.0191447225513508,1.017109012962971
2025-04-30,HistGBM,-0.001483291760318471,0.37920953104370886,0.0018960476552185442,-0.0033793394155370153,0.9985167082396815,0.996620660584463
2025-05-31,HistGBM,-0.016214020165429457,0.35856848061165036,0.001792842403058252,-0.01800686256848771,0.9837859798345705,0.9819931374315123
2025-06-30,HistGBM,-0.0010347170636553593,0.36599444979274404,0.0018299722489637203,-0.0028646893126190796,0.9989652829363447,0.9971353106873809
2025-07-31,HistGBM,-0.04626068015751447,0.45072242160260284,0.0022536121080130142,-0.04851429226552749,0.9537393198424855,0.9514857077344725
2025-08-31,HistGBM,-0.03313625274816996,0.4702770710658809,0.0023513853553294045,-0.035487638103499364,0.96686374725183,0.9645123618965006
2025-09-30,HistGBM,0.022539474362405276,0.4452518149831377,0.0022262590749156886,0.020313215287489587,1.0225394743624052,1.0203132152874896
2025-10-31,HistGBM,-0.025233803305643995,0.37347231898172084,0.0018673615949086043,-0.0271011649005526,0.974766196694356,0.9728988350994474
2025-11-30,HistGBM,-0.0318468269395743,0.26279334369348223,0.0013139667184674112,-0.03316079365804171,0.9681531730604257,0.9668392063419583
2025-12-31,HistGBM,-0.06732122892969052,0.3083355405287585,0.0015416777026437925,-0.06886290663233431,0.9326787710703095,0.9311370933676657
