roc_auc,brier_score,log_loss,spearman,q_top_minus_bottom,q0_ret,q4_ret,fold,is_holdout,model
0.5214624356320319,0.2666718282023167,0.7633764679778242,,-0.009036634981057055,0.0012817335868103596,-0.007754901394246696,2024-07-31,False,HistGBM_Calibrated
0.4063309997327132,0.3101066087220587,0.8284524399463119,,-0.051868314296997495,0.02430936838072253,-0.027558945916274964,2024-07-31,False,LogisticReg
0.5,0.25,0.6931471805599453,,-0.0048317554113930065,0.004704130741460685,-0.00012762466993232132,2024-07-31,False,Const_50
0.4012362253462435,0.3827103182362249,1.1881552698923745,,-0.056591521512911955,0.030770410906999206,-0.025821110605912745,2024-07-31,False,Mom_6M
0.3513269443695207,0.40766212387951706,1.2683365917207143,,-0.07192667151609027,0.03744622361467462,-0.03448044790141565,2024-07-31,False,Mom_12M
0.6482892037309994,0.23140890079273843,0.6648152763188424,,0.018471923495726076,-0.00551944324830894,0.012952480247417136,2025-01-31,False,HistGBM_Calibrated
0.6241003149858915,0.23865361693776116,0.6697575343380628,,0.025875675629429815,-0.00718672602434268,0.018688949605087136,2025-01-31,False,LogisticReg
0.5,0.25,0.6931471805599454,,0.00048714302180542703,0.002562786648637584,0.003049929670443011,2025-01-31,False,Const_50
0.4708652699793615,0.34786813560107765,1.0588001490043197,,0.004203066742019507,0.005232499252325383,0.00943556599434489,2025-01-31,False,Mom_6M
0.5402925760161964,0.31323868900791335,0.9386490749787688,,0.01167812615385858,0.0035899791912272893,0.015268105345085868,2025-01-31,False,Mom_12M
0.541695258986404,0.24788267471885173,0.6886604924632304,,0.00625752256372381,0.003731432465175028,0.009988955028898839,Holdout,True,HistGBM_Calibrated
0.6139430085052666,0.2399903538438096,0.6728142254831693,,0.017408807175051742,-0.008640988718536009,0.008767818456515733,Holdout,True,LogisticReg
0.5,0.25,0.6931471805599453,,-0.001391956354171429,0.005587181620789404,0.0041952252666179754,Holdout,True,Const_50
0.550077768350475,0.3083208949658927,0.924177079058966,,0.03729959584469027,-0.00396480913777156,0.03333478670691871,Holdout,True,Mom_6M
0.5831073401899716,0.2918224077144899,0.8689435789194151,,0.05124873102196219,-0.01142207388284425,0.039826657139117934,Holdout,True,Mom_12M
,0.2355872351451284,,,,,,Holdout,True,HistGBM_Calibrated
,0.2401803007279387,,,,,,Holdout,True,LogisticReg
,0.25,,,,,,Holdout,True,Const_50
,0.3333884217209487,,,,,,Holdout,True,Mom_6M
,0.33338825518618775,,,,,,Holdout,True,Mom_12M
