normalized_underlying_name,direct_scheme_code,regular_scheme_code,mapping_status,direct_scheme_codes,regular_scheme_codes
flexicap fund,,,ambiguous,"[120166, 119718, 148990, 150571]","[103215, 150568]"
floater fund,,,ambiguous,"[118656, 145295, 148711, 148771, 149049]","[145287, 148705, 148768, 149048]"
floating rate debt fund,,,ambiguous,"[118961, 148550]","[101481, 148543]"
floating rate fund,,,ambiguous,"[122646, 147269, 149007]","[122644, 122650, 147266, 149003]"
focused equity fund,,,ambiguous,"[120722, 133529]",[133527]
focused fund,,,ambiguous,"[119564, 120468, 118421, 119096, 118950, 118692, 119727, 122389, 147206, 147473, 147757, 149091, 152010]","[117560, 108592, 112901, 102756, 122387, 147203, 147760, 149090, 152009]"
gilt fund,,,ambiguous,"[120447, 118464, 119099, 119116, 120590, 120282, 118672, 119707, 119603, 120792, 133265]","[116471, 111525, 100084, 100317, 101001, 102510]"
global innovation overseas equity omni fof,,,ambiguous,"[149059, 149816]","[149056, 149817]"
gold etf fof,,,ambiguous,"[120685, 154129]",[154130]
gold etf fund of fund,,,ambiguous,"[150714, 151974, 152183, 152287, 153007]","[151973, 152182, 152290, 153009]"
gold fund,,,ambiguous,"[120546, 120473, 119781, 119788]","[115897, 115676]"
gold silver passive fof,,,ambiguous,"[153812, 153921]","[153814, 153922]"
healthcare fund,,,ambiguous,"[120782, 143783, 145454, 152024, 152214, 153972]","[100807, 143785, 145456, 152025, 152216, 153974]"
housing opportunities fund,,,ambiguous,"[141924, 150310, 150532]",[150537]
hsbc aggressive hybrid fund,,,ambiguous,"[145228, 151122]","[145227, 151120]"
hsbc dynamic bond fund,,,ambiguous,"[120048, 148492, 151087]","[106737, 148496, 151084]"
hsbc gilt fund,,,ambiguous,"[120057, 151014]",[151013]
hsbc low duration fund,,,ambiguous,"[120066, 151117]","[104350, 151114]"
hsbc midcap fund,,,ambiguous,"[149154, 151036]","[149153, 151034]"
hsbc short duration fund,,,ambiguous,"[120062, 151067]","[101599, 151065]"
idbi fmp series iii 368 days september 2013 k,,,ambiguous,"[124199, 131442]","[124198, 131443]"
income fund,,,ambiguous,"[119657, 119069, 119876]","[100038, 100418]"
income plus arbitrage active fof,,,ambiguous,"[118410, 130543, 131898, 147889, 153638, 153498, 153513]","[108545, 131896, 147890, 153640, 153500, 153511]"
income plus arbitrage active fund of fund,,,ambiguous,"[153442, 153600]","[153441, 153601]"
income plus arbitrage omni fof,,,ambiguous,"[120313, 130493, 150822, 154262]","[130492, 150820, 154261]"
india aggressive hybrid fund,,,ambiguous,"[118546, 143537]",[143536]
india arbitrage fund,,,ambiguous,"[120401, 153043]",[105603]
india balanced advantage fund,,,ambiguous,"[120333, 150481]",[106317]
india consumer fund,,,ambiguous,"[120780, 135805]","[106425, 135804]"
india credit risk fund,,,ambiguous,"[118553, 130722]",[130721]
india elss tax saver fund,,,ambiguous,"[118540, 120416]",[104636]
india equity savings fund,,,ambiguous,"[144466, 146457]",[146456]
india flexi cap fund,,,ambiguous,"[118535, 149763]",[149766]
india large & mid cap fund,,,ambiguous,"[118510, 120357]",[106144]
india liquid fund,,,ambiguous,[120537],"[100538, 104488]"
india low duration fund,,,ambiguous,"[118530, 120570, 153368]",[104728]
india manufacturing fund,,,ambiguous,"[152202, 152756]","[152205, 152758]"
india money market fund,,,ambiguous,"[118506, 120507]",[112120]
india multi asset allocation fund,,,ambiguous,"[153047, 153731]",[153046]
india opportunities fund,,,ambiguous,"[119618, 118539]",[100066]
india overnight fund,,,ambiguous,"[147214, 147883]",[147878]
