normalized_underlying_name,direct_scheme_code,regular_scheme_code,mapping_status,direct_scheme_codes,regular_scheme_codes
bank of india midcap tax fund series 2,144315.0,144314.0,high_confidence_candidate,,
bank of india money market fund,153294.0,153293.0,high_confidence_candidate,,
bank of india multi asset allocation fund,152396.0,152398.0,high_confidence_candidate,,
bank of india multi cap fund,151443.0,151445.0,high_confidence_candidate,,
bank of india overnight fund,147951.0,147936.0,high_confidence_candidate,,
bank of india short term income fund,119382.0,111585.0,high_confidence_candidate,,
bank of india small cap fund,145678.0,145677.0,high_confidence_candidate,,
bank of india ultra short duration fund,119379.0,109269.0,high_confidence_candidate,,
banking & financial services fund,,,ambiguous,"[118588, 118589, 133859, 148986, 151384, 152206]","[133858, 151381, 152208]"
banking & psu debt fund,,,ambiguous,"[119550, 120533, 120438, 124175, 147636]","[108273, 103176, 103188, 117446, 124172, 147635]"
banking & psu fund,,,ambiguous,"[120338, 125503, 126940]","[105823, 126939]"
banking & psu fund formerly known as sundaram banking & psu debt fund,134363.0,134356.0,high_confidence_candidate,,
banking & psu fund formerly known as sundaram banking and psu debt fund,,,ambiguous,[119625],"[100784, 100781]"
banking and financial services fund,,,ambiguous,"[120244, 120733, 125597, 134017, 135793, 148623]","[102401, 125595, 134016, 135794, 148621]"
banking and psu debt,,,rejected,,
banking and psu debt fund,,,ambiguous,"[120256, 128629]",[113242]
banking and psu fund,,,ambiguous,"[121279, 134547, 134552, 148419]","[121280, 148416]"
baroda bnp paribas aggressive hybrid fund,,,rejected,,
baroda bnp paribas aqua fund of fund,150285.0,150284.0,high_confidence_candidate,,
baroda bnp paribas arbitrage fund,150251.0,150250.0,high_confidence_candidate,,
baroda bnp paribas balanced advantage fund,145396.0,145387.0,high_confidence_candidate,,
baroda bnp paribas banking and financial services fund,119333.0,117549.0,high_confidence_candidate,,
baroda bnp paribas banking and psu bond fund,148628.0,148625.0,high_confidence_candidate,,
baroda bnp paribas best in class strategy fund,154195.0,154194.0,high_confidence_candidate,,
baroda bnp paribas business conglomerates fund,153847.0,153844.0,high_confidence_candidate,,
baroda bnp paribas business cycle fund,149141.0,149140.0,high_confidence_candidate,,
baroda bnp paribas children's fund,153171.0,153170.0,high_confidence_candidate,,
baroda bnp paribas conservative hybrid fund,150206.0,150203.0,high_confidence_candidate,,
baroda bnp paribas corporate bond fund,150237.0,150235.0,high_confidence_candidate,,
baroda bnp paribas credit risk fund,133488.0,133486.0,high_confidence_candidate,,
baroda bnp paribas credit risk fund seg portfolio 2 erstwhile bbnpp medium duration fund seg portfolio 1,152898.0,152904.0,high_confidence_candidate,,
baroda bnp paribas credit risk fund segregated portfolio 1,148333.0,148330.0,high_confidence_candidate,,
