scheme_code,latest_name,name_prefix
151589,Axis Fixed Term Plan - Series 113 (1228 Days) - Regular Plan - Quarterly IDCW,axis fixed term plan - series 113 (1228 days) - regular plan
151590,Invesco India Nifty G-sec Jul 2027 Index Fund - Regular Plan - Growth,invesco india nifty g-sec jul 2027 index fund - regular plan
151591,Invesco India Nifty G-sec Jul 2027 Index Fund - Regular Plan - IDCW Payout,invesco india nifty g-sec jul 2027 index fund - regular plan
151592,Invesco India Nifty G-sec Jul 2027 Index Fund - Direct Plan - IDCW Payout,invesco india nifty g-sec jul 2027 index fund - direct plan
151593,Invesco India Nifty G-sec Jul 2027 Index Fund - Direct Plan - Growth,invesco india nifty g-sec jul 2027 index fund - direct plan
151594,Invesco India Nifty G-sec Sep 2032 Index Fund - Regular Plan - Growth,invesco india nifty g-sec sep 2032 index fund - regular plan
151595,Invesco India Nifty G-sec Sep 2032 Index Fund - Regular Plan - IDCW Payout,invesco india nifty g-sec sep 2032 index fund - regular plan
151596,Invesco India Nifty G-sec Sep 2032 Index Fund - Direct Plan - IDCW Payout,invesco india nifty g-sec sep 2032 index fund - direct plan
151597,Invesco India Nifty G-sec Sep 2032 Index Fund - Direct Plan - Growth,invesco india nifty g-sec sep 2032 index fund - direct plan
151613,SBI Fixed Maturity Plan (FMP)-Series 80 (366 Days) Direct Plan- Growth,sbi fixed maturity plan (fmp)-series 80 (366 days) direct pl
151614,SBI Fixed Maturity Plan (FMP)-Series 80 (366 Days) Direct Plan- Income Distribution Cum Capital Withdrawal Payout Option,sbi fixed maturity plan (fmp)-series 80 (366 days) direct pl
151617,TRUSTMF FIXED MATURITY PLAN -SERIES II (1196 DAYS)-REGULAR PLAN -GROWTH,trustmf fixed maturity plan -series ii (1196 days)-regular p
151618,TRUSTMF FIXED MATURITY PLAN -SERIES II (1196 DAYS)-REGULAR PLAN -IDCW PAYOUT,trustmf fixed maturity plan -series ii (1196 days)-regular p
151625,Axis Fixed Term Plan - Series 114 (83 Days) - Direct Plan - Growth,axis fixed term plan - series 114 (83 days) - direct plan -
151626,Axis Fixed Term Plan - Series 114 (83 Days) - Regular Plan - Quarterly IDCW,axis fixed term plan - series 114 (83 days) - regular plan -
151627,Axis Fixed Term Plan - Series 114 (83 Days) - Regular Plan - Growth,axis fixed term plan - series 114 (83 days) - regular plan -
151628,Axis Fixed Term Plan - Series 114 (83 Days) - Direct Plan - Quarterly IDCW,axis fixed term plan - series 114 (83 days) - direct plan -
151629,Axis Fixed Term Plan - Series 113 (1228 Days) - Regular Plan - Half Yearly IDCW,axis fixed term plan - series 113 (1228 days) - regular plan
151635,ICICI Prudential Fixed Maturity Plan - Series 88 - Plan U - Direct Plan - IDCW,icici prudential fixed maturity plan - series 88 - plan u -
151636,ICICI Prudential Fixed Maturity Plan - Series 88 - Plan U - IDCW,icici prudential fixed maturity plan - series 88 - plan u -
151637,ICICI Prudential Fixed Maturity Plan - Series 88 - Plan U - Growth,icici prudential fixed maturity plan - series 88 - plan u -
151638,ICICI Prudential Fixed Maturity Plan - Series 88 - Plan U - Direct Plan - Growth,icici prudential fixed maturity plan - series 88 - plan u -
151639,SBI Fixed Maturity Plan (FMP)-Series 81 (1157 Days) Direct Plan- Growth,sbi fixed maturity plan (fmp)-series 81 (1157 days) direct p
