scheme_code,last_nav_date
101983,2017-10-27
101984,2017-10-27
101985,2017-04-01
101987,2017-10-27
102016,2017-10-27
102024,2017-04-28
102025,2017-04-28
102026,2017-04-28
102027,2017-04-28
102031,2017-10-27
102060,2018-05-24
102061,2016-08-12
102065,2015-12-01
102066,2015-12-01
102086,2013-05-08
102088,2013-10-25
102107,2022-12-19
102108,2022-12-19
102109,2022-12-19
102110,2022-12-19
102111,2022-12-19
102112,2022-12-19
102113,2022-12-19
102114,2022-12-19
102116,2013-10-25
102119,2013-10-25
102126,2013-10-25
102144,2018-05-25
102145,2018-05-25
102146,2018-05-25
102152,2017-10-27
102153,2017-10-27
102154,2015-11-17
102155,2015-11-17
102169,2019-05-29
102170,2019-05-29
102171,2019-05-29
102175,2016-09-09
102176,2016-09-09
102177,2016-09-09
102178,2016-09-09
102184,2016-02-05
102185,2016-02-05
102186,2016-02-05
102187,2016-02-05
102188,2016-02-05
102189,2016-02-05
102193,2016-03-02
102194,2016-03-02
102195,2016-03-02
102196,2016-03-02
102203,2016-03-02
102204,2016-03-02
102232,2014-10-09
102233,2014-10-09
102234,2014-10-09
102235,2014-10-09
102236,2014-10-09
102242,2014-10-09
102243,2014-10-09
102248,2018-05-24
102257,2016-10-07
102258,2016-10-07
102259,2016-10-07
102263,2017-10-27
102268,2014-03-03
102269,2014-03-03
102280,2015-08-28
102281,2015-08-28
102282,2015-08-28
102283,2015-08-28
102315,2014-10-09
102316,2014-10-09
102317,2014-10-09
102320,2014-08-25
102329,2017-10-27
102336,2021-12-31
102337,2021-12-31
102381,2014-10-09
102382,2014-10-09
102383,2014-10-09
102384,2014-10-09
102441,2020-07-08
102482,2013-09-26
102483,2013-09-26
102530,2014-04-21
102546,2022-12-19
102547,2022-12-19
102590,2021-09-17
102596,2014-04-21
102661,2022-03-13
102662,2022-03-13
102663,2022-03-13
102701,2021-12-31
102702,2013-12-18
102703,2020-02-12
102704,2013-12-18
102705,2013-12-18
102706,2013-12-18
102722,2021-12-31
102723,2021-12-31
102724,2021-12-31
102729,2020-09-04
102732,2020-09-04
102743,2020-04-24
102805,2014-04-30
102806,2014-04-30
102807,2021-12-31
102808,2021-12-31
102813,2013-10-31
102814,2013-10-31
102815,2013-10-31
102816,2013-10-31
102827,2016-05-24
102828,2016-05-24
102829,2016-05-24
102830,2016-05-24
102831,2016-05-24
102858,2018-06-01
102859,2018-06-01
102867,2016-10-21
102868,2016-10-21
102869,2016-10-21
102900,2013-05-06
102901,2013-05-06
102922,2013-02-01
102931,2014-10-09
102932,2014-10-09
102957,2014-04-21
103027,2016-04-21
103028,2016-04-21
103029,2017-03-31
103030,2017-03-31
103032,2017-03-31
103033,2017-03-31
103041,2017-03-31
103042,2017-03-31
103043,2017-03-31
103044,2017-03-31
103045,2017-03-31
103046,2017-03-31
103047,2017-03-31
103049,2019-08-13
103061,2016-10-06
103062,2016-10-06
103089,2017-03-31
103090,2017-03-31
103091,2017-03-31
103092,2017-03-31
103093,2017-03-31
103094,2017-03-31
103095,2017-03-31
103119,2020-03-26
103120,2020-03-26
103121,2020-03-26
103122,2020-03-26
103161,2014-10-09
103162,2014-10-09
103169,2016-02-05
103170,2016-02-05
103184,2018-06-01
103185,2018-06-01
103186,2018-06-01
103187,2018-06-01
103188,2018-06-01
103190,2015-12-11
103194,2020-04-30
103210,2014-04-04
103211,2014-04-04
103274,2014-01-28
103275,2017-09-08
103276,2014-01-29
103277,2017-09-08
103334,2021-12-31
103335,2021-12-31
103336,2013-02-15
103337,2013-02-15
103341,2022-09-16
103344,2020-04-24
103392,2021-12-31
103393,2021-12-31
103394,2021-12-31
103395,2021-12-31
103396,2021-12-31
103397,2021-12-31
103455,2018-05-02
103457,2018-05-02
103464,2021-02-12
103465,2021-02-12
103468,2014-06-20
103469,2014-06-20
103470,2016-03-15
103519,2016-07-01
103532,2014-08-22
103534,2014-08-22
103558,2016-03-02
103559,2016-03-02
103590,2016-03-02
103591,2016-03-02
103592,2016-03-02
103631,2016-07-01
103632,2016-07-01
103636,2022-09-16
103637,2022-09-16
103730,2020-04-03
103731,2020-04-03
103732,2020-04-03
103733,2020-04-03
103739,2014-10-08
103740,2014-10-08
103741,2014-10-08
103742,2014-10-08
103747,2018-04-27
103748,2018-04-27
103749,2018-04-27
103760,2013-03-01
103761,2013-03-01
103953,2019-12-17
104141,2014-07-31
104142,2017-09-08
104143,2017-09-08
104174,2014-10-09
104175,2014-10-09
104234,2016-03-02
104240,2020-11-03
104241,2020-11-03
104267,2018-05-24
104268,2018-05-24
104269,2018-05-24
104270,2018-05-24
104271,2020-09-25
104272,2020-09-25
104308,2022-09-16
104331,2023-04-13
104338,2016-02-05
104339,2016-02-05
104342,2022-11-25
104343,2022-11-25
104344,2022-11-25
104345,2015-08-19
104346,2013-05-10
104347,2013-05-10
104348,2022-11-25
104349,2019-06-11
104350,2022-11-25
104351,2022-11-24
104352,2022-11-17
104425,2016-03-02
104426,2016-03-02
104427,2016-03-02
104428,2016-03-02
104429,2022-11-25
104430,2018-03-23
104483,2014-08-26
104491,2015-08-19
104588,2018-05-02
104649,2014-10-09
104650,2014-10-09
104671,2013-05-06
104672,2013-05-06
104682,2013-11-11
104684,2020-04-24
104724,2017-04-13
104727,2021-05-11
104756,2014-10-09
104757,2014-10-09
104898,2018-06-15
105066,2014-08-25
105186,2018-09-11
105203,2014-10-09
105204,2014-10-09
105205,2014-10-09
105207,2014-10-09
105208,2014-10-09
105209,2014-10-09
105210,2014-10-09
105211,2014-10-09
105212,2014-10-09
105213,2014-10-09
105227,2017-06-30
105228,2017-06-30
105232,2019-09-17
105278,2019-08-08
105324,2014-10-09
105325,2014-10-09
105399,2013-08-29
105402,2019-09-17
105419,2015-04-06
105420,2015-10-15
105421,2015-10-15
