request_start_date,request_end_date,attempt_count,HTTP_status,content_type,download_status,raw_file_path,SHA256_checksum,raw_row_count,parsed_row_count,minimum_parsed_date,maximum_parsed_date,failure_reason
2017-09-07,2017-12-05,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2017/2017-09-07_to_2017-12-05.txt,2b56afb97df30746fd9c808a8a8a9aabeec9ed4125841a08cfa4d1f437d729ce,603912,602220,2017-09-07,2017-12-05,
2017-12-06,2018-03-05,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2017/2017-12-06_to_2018-03-05.txt,b3200d3e5f1ddf8305788d68c3e2836feaffa6cf9c66926ee90e9f96d2ea8ad7,584140,582451,2017-12-06,2018-03-05,
2018-03-06,2018-06-03,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2018/2018-03-06_to_2018-06-03.txt,55d417c4d815dbbb0729cb44edfb127745fff1a9b86c456d949feca0826b9eb0,593957,592257,2018-03-06,2018-06-03,
2018-06-04,2018-09-01,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2018/2018-06-04_to_2018-09-01.txt,7d58d8a3f9135e66226ec0b040afb65615d9f42cb3ab872b8d72c63193f63ed9,609592,607922,2018-06-04,2018-09-01,
2018-09-02,2018-11-30,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2018/2018-09-02_to_2018-11-30.txt,5c7d43e70f76af4497fe9f7893eeb3ff959c5d9c9b6a3788dc0822b234905935,582853,581143,2018-09-02,2018-11-30,
2018-12-01,2019-02-28,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2018/2018-12-01_to_2019-02-28.txt,6b3efe4014deb80f6961f8c0e75af1252a0495865483966d7382aad34b8ef154,646755,644991,2018-12-01,2019-02-28,
2019-03-01,2019-05-29,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2019/2019-03-01_to_2019-05-29.txt,728ed75bc86ab6db068506976871dad253c14f429d527a315139d34444240272,616211,614413,2019-03-01,2019-05-29,
2019-05-30,2019-08-27,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2019/2019-05-30_to_2019-08-27.txt,ea6fa68a93c2c79961fc33d2d4fd01dc703e4b74b5523683e6434aec665f8079,641116,639299,2019-05-30,2019-08-27,
2019-08-28,2019-11-25,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2019/2019-08-28_to_2019-11-25.txt,b9e55435d28689e570e405576762c797cde481ad8d93d5275bf62a8cab8307b3,596729,594901,2019-08-28,2019-11-25,
2019-11-26,2020-02-23,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2019/2019-11-26_to_2020-02-23.txt,751644f577af33a91435d0a260c3368f4b0ae414579574595c7bcce0146f5832,641705,639858,2019-11-26,2020-02-23,
2020-02-24,2020-05-23,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2020/2020-02-24_to_2020-05-23.txt,620c890a18ef53e8e09d1877e6e859fc6f76de5fa2b7a30d0ab1c9951a6f76ba,607078,605223,2020-02-24,2020-05-23,
2020-05-24,2020-08-21,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2020/2020-05-24_to_2020-08-21.txt,876a3c4bbcaff45a153d61c0b48bea4165c60c4deb6e7f88abfb395fdc437fe5,639792,637940,2020-05-24,2020-08-21,
